GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel Trim Bank 1 Short Term(%),Fuel flow rate/minute(cc/min),Engine RPM(rpm),Actual engine % torque(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Instantaneous)(g/km),Litres Per 100 Kilometer(Instant)(l/100km),0-100mph Time(s),Trip average KPL(kpl),Trip average MPG(mpg),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Average)(g/km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Measured)(:1),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),Average trip speed(whilst moving only)(km/h),O2 Sensor8 wide-range Voltage,O2 Sensor7 wide-range Voltage,100-0kph Time(s),80-120kph Time(s),80-100mph Time(s),Exhaust Gas Temperature 1(°C),O2 Sensor6 wide-range Voltage,Mass Air Flow Rate(g/s),Transmission Temperature(Method 2)(°C),O2 Sensor5 wide-range Voltage,O2 Sensor4 wide-range Voltage,60-80mph Time(s),0-60mph Time(s),1/4 mile time(s),60-130mph Time(s),1/8 mile time(s),40-60mph Time(s),60-0mph Time(s),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,Turbo Boost & Vacuum Gauge(psi),Run time since engine start(s),Fuel cost (trip)(cost),Litres Per 100 Kilometer(Long Term Average)(l/100km)
Mon Apr 24 19:29:27 GMT+02:00 2017,24-apr-2017 19:29:28.926,14.412977259,40.909081747,0.0,4.0,85.27542114257813,0.0,0.60333884,9.69172859,-1.24498487,0.01621372,4.5,24.86190224,1.96078432,0.0,0,6.2647891,-2.34375,0.0,0.78125,28.55739975,872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.99023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19.6078434,0.0,0.0,0.0,14.64881134,0.0,34901.8828125,0.0,0.0,17.23007774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,-3.33586788,0.0,0.06050368,15.96189785
Mon Apr 24 19:29:28 GMT+02:00 2017,24-apr-2017 19:29:29.430,14.412977259,40.909081747,0.0,4.0,85.25994110107422,0.0,0.33518824,9.76834297,-1.26413846,0.01857342,4.5,24.86190224,1.96078432,0.0,0,6.2647891,-1.5625,0.0,0.78125,28.55739975,872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19.6078434,0.0,0.0,0.0,14.64881134,0.0,33596.54296875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,-3.33586788,0.0,0.06050368,15.96189785
Mon Apr 24 19:29:28 GMT+02:00 2017,24-apr-2017 19:29:29.928,14.412977259,40.909081747,0.0,4.0,85.25994110107422,0.0,0.00957681,9.52892303,-1.09175599,0.02238731,4.5,24.86190224,1.96078432,0.0,0,6.2647891,-1.5625,0.0,0.78125,28.55739975,872,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90196228,34.11764908,0.0,0.0,0.0,14.64881134,0.0,33596.54296875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,-3.33586788,0.0,0.06050368,15.96189785
Mon Apr 24 19:29:29 GMT+02:00 2017,24-apr-2017 19:29:30.427,14.412977259,40.909081747,0.0,4.0,85.10897064208984,0.0,-0.09576806,9.79707336,-2.07816696,0.04237072,4.5,24.85780144,1.96078432,0.0,0,6.26461983,-1.5625,0.0,0.78125,28.3149929,1278,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90196228,34.11764908,0.0,0.0,0.0,14.64881134,0.0,33596.54296875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,-3.04579258,0.0,0.06153712,15.96232796
Mon Apr 24 19:29:29 GMT+02:00 2017,24-apr-2017 19:29:30.927,14.412977259,40.909081747,0.0,4.0,85.10897064208984,0.0,0.91937345,9.58638382,-0.64164603,0.01221523,4.5,24.85780144,8.62745094,0.0,0,6.26461983,-1.5625,0.0,-7.8125,28.3149929,1278,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90196228,34.11764908,0.0,0.0,0.0,14.64881134,0.0,33596.54296875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,-3.04579258,0.0,0.06153712,15.96232796
Mon Apr 24 19:29:30 GMT+02:00 2017,24-apr-2017 19:29:31.427,14.412977259,40.909081747,0.0,4.0,84.96244049072266,0.0,0.98641109,9.42357826,-0.77572137,0.04053071,-8.5,24.85780144,8.62745094,0.0,0,6.26461983,-1.5625,0.0,-7.8125,28.3149929,1278,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90196228,34.11764908,0.0,0.0,0.0,14.64881134,0.0,33596.54296875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.125,0.0,0.0,0.0,-3.04579258,0.0,0.06153712,15.96232796
Mon Apr 24 19:29:30 GMT+02:00 2017,24-apr-2017 19:29:31.927,14.412977259,40.909081747,0.0,4.0,84.96244049072266,0.0,0.51714754,9.55765343,-0.9768343,0.02095279,-8.5,24.85780144,8.62745094,0.0,0,6.26461983,-0.78125,0.0,-7.8125,28.3149929,1278,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.90196228,34.11764908,0.0,0.0,0.0,14.64881134,0.0,35569.0546875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.125,0.0,0.0,0.0,-3.04579258,0.0,0.06153712,15.96232796
Mon Apr 24 19:29:31 GMT+02:00 2017,24-apr-2017 19:29:32.427,14.412989749,40.909126691,0.0,4.0,84.8149185180664,0.0,0.41180268,9.71088219,-0.56503159,0.02343684,-8.5,24.85780144,8.62745094,0.0,0,6.26461983,-0.78125,0.0,-7.8125,28.3149929,1278,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19.6078434,0.0,0.0,0.0,14.64881134,0.0,35569.0546875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.125,0.0,0.0,0.0,-3.04579258,0.0,0.06153712,15.96232796
Mon Apr 24 19:29:31 GMT+02:00 2017,24-apr-2017 19:29:32.931,14.412989749,40.909126691,0.0,4.0,84.8149185180664,0.0,0.58418524,9.68215179,-1.13006318,0.01445013,-8.5,24.85198975,8.62745094,0.0,0.82960153,6.26154232,-0.78125,0.0,-7.8125,40.97961807,1122,0.0,2,0.0,120.53728485,0.0,0.82960153,2.34350729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19.6078434,0.0,0.0,0.0,14.64881134,0.0,35569.0546875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.125,0.0,0.0,0.0,-3.19083023,0.0,0.06300181,15.97017384
Mon Apr 24 19:29:32 GMT+02:00 2017,24-apr-2017 19:29:33.428,14.412989749,40.909126691,0.0,4.0,84.670166015625,0.0,0.09576806,9.85453415,-1.40779054,0.01063172,-8.5,24.85198975,1.96078432,0.0,0.82960153,6.26154232,-0.78125,0.0,3.125,40.97961807,1122,0.0,1,0.0,120.53728485,0.0,0.82960153,2.34350729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7843132,0.0,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,19.6078434,0.0,0.0,0.0,14.64881134,0.0,35569.0546875,0.0,0.0,17.06015587,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.125,0.0,0.0,0.0,-3.19083023,0.0,0.06300181,15.97017384
