GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Actual engine % torque(%),Engine Load(%),Kilometers Per Litre(Instant)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),CO₂ in g/km (Instantaneous)(g/km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Average)(g/km),Trip Distance(km),Fuel flow rate/minute(cc/min),Engine RPM(rpm),GPS Altitude(m),GPS Longitude(°),Fuel Level (From Engine ECU)(%),Accelerator PedalPosition D(%),Barometric pressure (from vehicle)(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Engine Coolant Temperature(°C),Fuel Remaining (Calculated from vehicle profile)(%),Trip distance (stored in vehicle profile)(km),GPS Accuracy(m),GPS Latitude(°),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Litres Per 100 Kilometer(Long Term Average)(l/100km),Fuel flow rate/hour(l/hr),Accelerator PedalPosition E(%),Transmission Temperature(Method 3)(°C),0-100mph Time(s),Timing Advance(°),Engine Load(Absolute)(%),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Distance to empty (Estimated)(km),Fuel used (trip)(l),Fuel cost (trip)(cost),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),DPF Temperature(°C),Drivers demand engine % torque(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),GPS Bearing(°),GPS Satellites,Hybrid Battery Charge (%)(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Fuel pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),Ambient air temp(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 1(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Apr 24 18:08:52 CEST 2017,24-apr-2017 18:08:49.484,14.41285491,40.90900167,0.0,7.0,94.4000015258789,0.0,-0.459681,9.34684658,0.153227,-0.02693301,0.0,17.64705849,0,0.0,0.0,0.0,56,26.66666603,0,0.0,0.00711972,11.15497589,795,94.40000153,14.41285515,20.7843132,19.2156868,14.06866074,14.79384899,5163.34326172,0.72518826,-0.04685841,0.95278758,-0.11561947,-0.04560706,84,-24.99876976,616.7935791,7,40.9090004,4.78000021,42,10.15699959,0,0,4.47347689,0.66929853,19.2156868,84,0.0,0.0,0.0,22.35351372,0.0,22.88939857,4.3687439,64.65931702,0,63.14551544,-363.23361206,0.03481907,0.04526479,∞,10.23168564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.58000183,120,0.0,0.0,0.0,0.3125,5
Mon Apr 24 18:08:53 CEST 2017,24-apr-2017 18:08:50.460,14.41285487,40.90900176,0.0,7.0,94.4000015258789,0.0,-0.459681,9.50007439,-1.07258904,-0.00531435,0.0,44.31372452,0,0.0,0.0,0.0,56,32.94117737,0,0.0,0.00711972,11.15497589,843,94.40000153,14.41285515,20.7843132,19.2156868,14.06866074,14.79384899,5163.34326172,0.72518826,-0.03123894,0.96840715,-0.2093363,-0.02460656,84,-24.99876976,616.7935791,7,40.9090004,4.78000021,40,10.15699959,0,0,4.47347689,0.66929853,19.2156868,84,0.0,0.0,0.0,22.35351372,0.0,22.88939857,4.3687439,64.65931702,0,63.14551544,-363.23361206,0.03481907,0.04526479,∞,10.23168564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.58100128,121,0.0,0.0,0.0,0.30769232,5
Mon Apr 24 18:08:54 CEST 2017,24-apr-2017 18:08:51.440,14.41285488,40.90900181,0.0,7.0,94.4000015258789,0.0,-0.76613498,9.34684658,-0.153227,-0.02488947,0.0,44.31372452,0,0.0,0.0,0.0,56,32.94117737,0,0.0,0.00711972,11.15497589,843,94.40000153,14.41285515,20.7843132,29.80392265,14.06866074,14.79384899,7164.86425781,0.72518826,-0.07809734,0.95278758,-0.11561947,-0.04356284,84,-24.99876976,616.7935791,7,40.9090004,4.78000021,40,10.15699959,0,0,4.47347689,0.66929853,30.19607925,84,0.0,0.0,0.0,22.35351372,0.0,22.88939857,4.3687439,64.65931702,0,63.14551544,-363.23361206,0.03481907,0.04526479,∞,10.23168564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.29299927,122,0.0,0.0,0.0,0.30769232,5
Mon Apr 24 18:08:55 CEST 2017,24-apr-2017 18:08:52.468,14.41285489,40.90900187,0.0,7.0,94.4000015258789,0.0,-1.22581601,9.34684658,0,-0.02005357,0.0,44.31372452,0,0.0,0.0,0.0,57,32.94117737,4,0.0,0.00711972,19.08537865,919,94.40000153,14.41285515,20.7843132,29.80392265,14.06866074,15.37400055,7164.86425781,1.30533981,-0.10933629,0.93716812,-0.08438052,-0.0560238,84,-25.00004768,616.7935791,7,40.9090004,6.73999977,40,10.31999969,0,4,4.47348547,1.14512277,30.19607925,84,0.0,0.0,0.0,22.35346985,0.0,22.86715508,4.37299347,64.59648132,0,63.14539719,-363.25149536,0.03564992,0.0463449,∞,10.47583294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,123,0.0,0.0,0.0,0.36363637,4.80000019
Mon Apr 24 18:08:56 CEST 2017,24-apr-2017 18:08:53.421,14.41285495,40.90900192,0.0,7.0,94.4000015258789,0.0,-1.37904298,9.34684658,-0.76613498,-0.01473671,0.0,20.3921566,0,0.0,0.0,0.0,57,35.29411697,4,0.0,0.00711972,19.08537865,919,94.40000153,14.41285515,20.7843132,30.19607925,14.06866074,15.37400055,6439.67578125,1.30533981,-0.14057522,0.95278758,-0.17809734,-0.0334066,84,-25.00004768,616.7935791,7,40.9090004,6.73999977,40,11.42099953,0,4,4.47348547,1.14512277,30.98039246,84,0.0,0.0,0.0,22.35346985,0.0,22.86715508,4.37299347,64.59648132,0,63.14539719,-363.25149536,0.03564992,0.0463449,∞,10.47583294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,124,0.0,0.0,0.0,0.36363637,4.80000019
Mon Apr 24 18:08:57 CEST 2017,24-apr-2017 18:08:54.417,14.41285502,40.90900198,0.0,7.0,94.4000015258789,0.0,-2.14517808,9.34684658,-0.91936201,0.00104111,0.0,20.3921566,0,0.0,0.0,0.0,57,35.29411697,4,0.0,0.00711972,19.08537865,919,94.40000153,14.41285515,20.7843132,30.19607925,14.06866074,15.37400055,6439.67578125,1.30533981,-0.21867257,0.96840715,-0.17809734,-0.00380375,84,-25.00004768,616.7935791,7,40.9090004,6.73999977,40,12.38899994,0,4,4.47348547,1.14512277,30.98039246,84,0.0,0.0,0.0,22.35346985,0.0,22.86715508,4.37299347,64.59648132,0,63.14539719,-363.25149536,0.03564992,0.0463449,∞,10.47583294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,125,0.0,0.0,0.0,0.36363637,4.80000019
Mon Apr 24 18:08:58 CEST 2017,24-apr-2017 18:08:55.415,14.41285504,40.90900211,0.0,7.0,94.4000015258789,0.0,-2.91131306,9.34684658,-0.61290801,0.01889002,0.0,29.01960754,5.77367306,0.0,0.0,0.0,73,35.29411697,10,0.0,0.01206833,32.78094864,1693,94.40000153,14.41285515,20.7843132,30.19607925,14.06866074,15.37400055,6439.67578125,1.30533981,-0.24991152,0.98402661,-0.17809734,0.01861273,84,-25.0021801,616.79852295,7,40.9090004,13.88000011,43,13.30500031,0,10,4.47361946,1.96685684,30.98039246,84,0.0,0.0,0.0,22.35280037,17.3196373,22.52528381,4.439363,63.63074875,16.30981064,63.1435051,-363.2817688,0.03703492,0.04814539,∞,10.88281822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,126,0.0,0.0,0.0,0.50746268,5.66666651
Mon Apr 24 18:08:59 CEST 2017,24-apr-2017 18:08:56.409,14.41285505,40.90900224,0.0,6.0,94.4000015258789,0.0,-1.22581601,9.50007439,-1.07258904,0.00153792,0.0,29.01960754,5.77367306,0.0,0.0,0.0,73,43.92156982,10,0.0,0.01206833,32.78094864,1693,94.40000153,14.41285515,20.7843132,30.58823586,14.06866074,15.37400055,8760.27929688,1.30533981,-0.15619469,0.95278758,-0.24057522,-0.0239811,84,-25.0021801,616.79852295,6,40.9090004,13.88000011,43,14.11400032,0,10,4.47361946,1.96685684,31.76470566,84,0.0,0.0,0.0,22.35280037,17.3196373,22.52528381,4.439363,63.63074875,16.30981064,63.1435051,-363.2817688,0.03703492,0.04814539,∞,10.88281822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,127,0.0,0.0,0.0,0.50746268,5.66666651
Mon Apr 24 18:09:00 CEST 2017,24-apr-2017 18:08:57.418,14.41285505,40.90900228,0.0,6.0,94.4000015258789,0.0,-0.459681,9.95975494,-1.22581601,0.04299885,0.0,29.01960754,7.10086441,0.0,0.0,0.0,77,43.92156982,18,0.0,0.02174,49.47612,2384,94.40000153,14.41285515,20.7843132,30.58823586,14.06866074,15.8091135,8760.27929688,1.74045277,-0.01561947,0.98402661,-0.13123894,-0.01501738,84,-25.00536919,616.8081665,6,40.9090004,19.94000053,43,15.35499954,0,18,4.47374249,2.96856713,31.76470566,84,0.0,0.0,0.0,22.3521862,14.0824995,22.22284508,4.49978018,62.77639771,20.05893898,63.14176559,-363.31723022,0.03910797,0.05084036,0.87643445,6.77970839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67685127,6.58772898,4.91246843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,128,0.0,0.0,0.0,0.7647059,7.42857122
Mon Apr 24 18:09:01 CEST 2017,24-apr-2017 18:08:58.427,14.41285509,40.9090022,0.0,6.0,94.4000015258789,0.0,-0.459681,9.04039288,0.153227,-0.0581286,0.0,23.13725471,7.10086441,0.0,0.0,0.0,77,44.70588303,18,0.0,0.02174,49.47612,2384,94.40000153,14.41285515,20.7843132,19.2156868,14.06866074,15.8091135,8847.30175781,1.74045277,-0.01561947,0.96840715,-0.11561947,-0.03101006,84,-25.00536919,616.8081665,6,40.9090004,19.94000053,43,16.36400032,0,18,4.47374249,2.96856713,31.76470566,84,0.0,0.0,0.0,22.3521862,14.0824995,22.22284508,4.49978018,62.77639771,20.05893898,63.14176559,-363.31723022,0.03910797,0.05084036,0.87643445,6.77970839,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67685127,6.58772898,4.91246843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.34400177,129,0.0,0.0,0.0,0.7647059,7.42857122
