GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Actual engine % torque(%),Engine Load(%),Kilometers Per Litre(Instant)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),CO₂ in g/km (Instantaneous)(g/km),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Average)(g/km),Trip Distance(km),Fuel flow rate/minute(cc/min),Engine RPM(rpm),GPS Altitude(m),GPS Longitude(°),Fuel Level (From Engine ECU)(%),Accelerator PedalPosition D(%),Barometric pressure (from vehicle)(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Turbo Boost & Vacuum Gauge(psi),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Engine Coolant Temperature(°C),Fuel Remaining (Calculated from vehicle profile)(%),Trip distance (stored in vehicle profile)(km),GPS Accuracy(m),GPS Latitude(°),Mass Air Flow Rate(g/s),Intake Air Temperature(°C),Trip time(whilst moving)(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Litres Per 100 Kilometer(Long Term Average)(l/100km),Fuel flow rate/hour(l/hr),Accelerator PedalPosition E(%),Transmission Temperature(Method 3)(°C),0-100mph Time(s),Timing Advance(°),Engine Load(Absolute)(%),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Distance to empty (Estimated)(km),Fuel used (trip)(l),Fuel cost (trip)(cost),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),DPF Temperature(°C),Drivers demand engine % torque(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),GPS Bearing(°),GPS Satellites,Hybrid Battery Charge (%)(%),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Fuel pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),Ambient air temp(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 1(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Run time since engine start(s),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Mon Apr 24 17:25:58 CEST 2017,24-apr-2017 17:25:53.984,14.4129094,40.90909057,0.0,78.0,89.5999984741211,0.0,-0.459681,9.50007439,0.306454,-0.0109567,0.0,20,0,0.0,0.0,0.0,45,46.66666794,0,58.42179108,0.81653243,10.27848148,801,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4177.08691406,0.5801506,-0.04685841,0.96840715,-0.09999999,-0.03012864,75,-23.93115425,603.15838623,78,40.90909195,4.36000013,37,146.22599792,0,0,4.47243166,0.61670887,19.2156868,75,0.0,0.0,0.0,22.35873604,0.0,22.3939991,4.46538925,63.25988007,0,63.16027069,-347.80236816,0.1129339,0.14681406,∞,0.28936362,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.29700089,206,0.0,0.0,0.0,7.3719511,20.49152565
Mon Apr 24 17:25:59 CEST 2017,24-apr-2017 17:25:54.951,14.41290941,40.90909067,0.0,86.0,89.5999984741211,0.0,-0.459681,9.50007439,0.153227,-0.01133406,0.0,20,0,0.0,0.0,0.0,45,45.49019623,0,58.42179108,0.81653243,10.27848148,801,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4177.08691406,0.5801506,-0.04685841,0.96840715,-0.09999999,-0.03012864,75,-23.93115425,603.15838623,86,40.90909195,4.36000013,37,146.22599792,0,0,4.47243166,0.61670887,19.2156868,75,0.0,0.0,0.0,22.35873604,0.0,22.3939991,4.46538925,63.25988007,0,63.16027069,-347.80236816,0.1129339,0.14681406,∞,0.28936362,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.09000015,207,0.0,0.0,0.0,7.3719511,20.49152565
Mon Apr 24 17:26:00 CEST 2017,24-apr-2017 17:25:56.013,14.41290946,40.90909085,0.0,87.0,89.5999984741211,0.0,-0.459681,9.50007439,0,-0.01145989,0.0,20,0,0.0,0.0,0.0,48,45.49019623,0,58.42179108,0.81653243,13.29601669,893,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4177.08691406,0.5801506,-0.04685841,0.96840715,-0.09999999,-0.03012864,75,-23.93200111,603.15838623,87,40.90909195,5.63999987,37,146.22599792,0,0,4.47244072,0.79776096,19.2156868,75,0.0,0.0,0.0,22.35869217,0.0,22.38130379,4.46792221,63.22402191,0,63.16014481,-347.81399536,0.11348414,0.14752936,∞,0.29077345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.32500076,208,0.0,0.0,0.0,7.32727289,20.49152565
Mon Apr 24 17:26:01 CEST 2017,24-apr-2017 17:25:56.950,14.41290946,40.90909094,0.0,80.0,89.5999984741211,0.0,-0.459681,9.65330124,0,0.00414163,0.0,15.68627453,0,0.0,0.0,0.0,48,45.88235474,0,58.42179108,0.81653243,13.29601669,893,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4351.13232422,0.5801506,-0.04685841,0.96840715,-0.11561947,-0.03000279,75,-23.93200111,603.15838623,80,40.90909195,5.63999987,38,146.22599792,0,0,4.47244072,0.79776096,19.2156868,75,0.0,0.0,0.0,22.35869217,0.0,22.38130379,4.46792221,63.22402191,0,63.16014481,-347.81399536,0.11348414,0.14752936,∞,0.29077345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2840004,209,0.0,0.0,0.0,7.32727289,20.49152565
Mon Apr 24 17:26:02 CEST 2017,24-apr-2017 17:25:57.929,14.41290949,40.90909098,0.0,77.0,89.5999984741211,0.0,-0.459681,9.50007439,0.153227,-0.01133406,0.0,15.68627453,0,0.0,0.0,0.0,48,45.88235474,0,58.42179108,0.81653243,13.29601669,893,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4351.13232422,0.5801506,-0.04685841,0.96840715,-0.09999999,-0.03012864,75,-23.93200111,603.15838623,77,40.90909195,5.63999987,38,146.22599792,0,0,4.47244072,0.79776096,19.2156868,75,0.0,0.0,0.0,22.35869217,0.0,22.38130379,4.46792221,63.22402191,0,63.16014481,-347.81399536,0.11348414,0.14752936,∞,0.29077345,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.21800232,210,0.0,0.0,0.0,7.32727289,20.49152565
Mon Apr 24 17:26:03 CEST 2017,24-apr-2017 17:25:58.923,14.41290953,40.90909115,0.0,75.0,89.5999984741211,0.0,-0.459681,9.50007439,0,-0.01145989,0.0,20,0,0.0,0.0,0.0,47,45.88235474,0,58.42179108,0.81653243,11.3503046,807,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4351.13232422,0.5801506,-0.04685841,0.96840715,-0.08438052,-0.03000279,75,-23.93273163,603.15838623,75,40.90909195,4.9000001,38,146.22599792,0,0,4.4724493,0.68101829,19.2156868,75,0.0,0.0,0.0,22.3586483,0.0,22.36876488,4.47042656,63.18860245,0,63.16002274,-347.82391357,0.11395877,0.14814639,∞,0.29198956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.25099945,211,0.0,0.0,0.0,7.28313255,20.49152565
Mon Apr 24 17:26:04 CEST 2017,24-apr-2017 17:25:59.956,14.41290955,40.90909121,0.0,73.0,89.5999984741211,0.0,-0.459681,9.65330124,-0.153227,0.00426543,0.0,20,0,0.0,0.0,0.0,47,47.45098114,0,58.42179108,0.81653243,11.3503046,807,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4235.10205078,0.5801506,-0.04685841,0.95278758,-0.09999999,-0.04573497,75,-23.93273163,603.15838623,73,40.90909195,4.9000001,38,146.22599792,0,0,4.4724493,0.68101829,19.2156868,75,0.0,0.0,0.0,22.3586483,0.0,22.36876488,4.47042656,63.18860245,0,63.16002274,-347.82391357,0.11395877,0.14814639,∞,0.29198956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.03800201,212,0.0,0.0,0.0,7.28313255,20.49152565
Mon Apr 24 17:26:05 CEST 2017,24-apr-2017 17:26:00.931,14.41290958,40.90909123,0.0,72.0,89.5999984741211,0.0,-0.459681,9.50007439,-0.153227,-0.01133406,0.0,20,0,0.0,0.0,0.0,46,47.45098114,0,58.42179108,0.81653243,10.53779984,801,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4235.10205078,0.5801506,-0.04685841,0.96840715,-0.08438052,-0.03000279,75,-23.93338966,603.15838623,72,40.90909195,4.46999979,38,146.22599792,0,0,4.47245836,0.63226801,19.2156868,75,0.0,0.0,0.0,22.35860443,0.0,22.35637856,4.47290325,63.15361404,0,63.15989685,-347.83279419,0.11438625,0.14870211,∞,0.29308489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.23799896,213,0.0,0.0,0.0,7.23952103,20.49152565
Mon Apr 24 17:26:06 CEST 2017,24-apr-2017 17:26:01.931,14.41290959,40.90909124,0.0,70.0,89.5999984741211,0.0,-0.459681,9.65330124,-0.153227,0.00426543,0.0,20.3921566,0,0.0,0.0,0.0,46,48.62745285,0,58.42179108,0.81653243,10.53779984,801,89.59999847,14.41290951,23.92156792,19.2156868,14.06866074,14.64881134,4148.07910156,0.5801506,-0.04685841,0.95278758,-0.11561947,-0.04560706,75,-23.93338966,603.15838623,70,40.90909195,4.46999979,37,146.22599792,0,0,4.47245836,0.63226801,19.2156868,75,0.0,0.0,0.0,22.35860443,0.0,22.35637856,4.47290325,63.15361404,0,63.15989685,-347.83279419,0.11438625,0.14870211,∞,0.29308489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.31099701,214,0.0,0.0,0.0,7.23952103,20.49152565
Mon Apr 24 17:26:07 CEST 2017,24-apr-2017 17:26:02.947,14.41290962,40.90909128,0.0,78.0,89.5999984741211,0.0,-0.459681,9.50007439,0,-0.01145989,0.0,20.3921566,0,0.0,0.0,0.0,46,48.62745285,0,58.42179108,0.81653243,10.53779984,801,89.59999847,14.41290951,22.74509811,19.2156868,14.06866074,14.64881134,4148.07910156,0.5801506,-0.03123894,0.96840715,-0.09999999,-0.03075814,75,-23.93338966,603.15838623,78,40.90909195,4.46999979,37,146.22599792,0,0,4.47245836,0.63226801,19.2156868,75,0.0,0.0,0.0,22.35860443,0.0,22.35637856,4.47290325,63.15361404,0,63.15989685,-347.83279419,0.11438625,0.14870211,∞,0.29308489,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.26300049,215,0.0,0.0,0.0,7.23952103,20.49152565
