GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel Trim Bank 1 Short Term(%),Fuel flow rate/minute(cc/min),Engine RPM(rpm),Actual engine % torque(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Instantaneous)(g/km),Litres Per 100 Kilometer(Instant)(l/100km),0-100mph Time(s),Trip average KPL(kpl),Trip average MPG(mpg),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Average)(g/km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Measured)(:1),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),Average trip speed(whilst moving only)(km/h),O2 Sensor8 wide-range Voltage,O2 Sensor7 wide-range Voltage,100-0kph Time(s),80-120kph Time(s),80-100mph Time(s),Exhaust Gas Temperature 1(°C),O2 Sensor6 wide-range Voltage,Mass Air Flow Rate(g/s),Transmission Temperature(Method 2)(°C),O2 Sensor5 wide-range Voltage,O2 Sensor4 wide-range Voltage,60-80mph Time(s),0-60mph Time(s),1/4 mile time(s),60-130mph Time(s),1/8 mile time(s),40-60mph Time(s),60-0mph Time(s),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,Turbo Boost & Vacuum Gauge(psi),Run time since engine start(s),Fuel cost (trip)(cost),Litres Per 100 Kilometer(Long Term Average)(l/100km)
Tue Apr 25 19:10:38 GMT+02:00 2017,25-apr-2017 19:10:38.391,14.413020249,40.908918377,0.0,8.0,100.23890686035156,65.91543,-1.62805712,6.30153894,7.7284832,0.0489623,6.5,48.14254379,23.92156982,43.13725662,0,11.55709457,1.5625,-0.78125,-2.34375,14.80269718,831.75,-,0,-,-,-,13.29599667,37.55931091,-,-,-,-,-,-,-,-,∞,0.02710969,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.76271248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.49390602,149,0.01261708,8.6525135
Tue Apr 25 19:10:38 GMT+02:00 2017,25-apr-2017 19:10:38.901,14.413020249,40.908918377,0.0,8.0,100.23890686035156,65.91543,-0.45010993,5.88973618,7.82425117,0.02467602,6.5,48.14212418,23.92156982,43.13725662,0,11.55699158,1.5625,-0.78125,-2.34375,35.3481636,831.75,-,0,-,-,-,13.28561687,37.52999115,-,-,-,-,-,-,-,-,∞,0.0276004,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.76271248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.54735851,151,0.01284546,8.65259075
Tue Apr 25 19:10:39 GMT+02:00 2017,25-apr-2017 19:10:39.390,14.413020249,40.908918377,0.0,8.0,100.2422103881836,65.91543,-0.87148941,5.23851347,8.50420475,0.03812135,6.5,48.14212418,29.01960754,43.13725662,0,11.55699158,1.5625,-0.78125,-2.34375,35.3481636,2115.5,-,3,-,-,-,13.28561687,37.52999115,-,-,-,-,-,-,-,-,∞,0.0276004,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.76378858,0.52400261,0.39074868,-,-,-,25.38333321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.54735851,151,0.01284546,8.65259075
Tue Apr 25 19:10:39 GMT+02:00 2017,25-apr-2017 19:10:39.901,14.413020249,40.908918377,0.0,8.0,100.2422103881836,65.91543,-1.63763392,5.83227539,6.96233845,0.02164938,23,48.14212418,29.01960754,43.13725662,0,11.55699158,1.5625,-0.78125,3.90625,35.3481636,2115.5,-,3,-,-,-,13.28561687,37.52999115,-,-,-,-,-,-,-,-,∞,0.0276004,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.76378858,0.52400261,0.39074868,-,-,-,25.38333321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.54735851,151,0.01284546,8.65259075
Tue Apr 25 19:10:40 GMT+02:00 2017,25-apr-2017 19:10:40.401,14.413020249,40.908918377,0.0,8.0,100.24629211425781,65.91543,-0.23942018,4.75009632,8.21689987,0.03060169,23,48.14212418,29.01960754,43.13725662,0,11.55699158,1.5625,0,3.90625,35.3481636,2115.5,-,3,-,-,-,13.28561687,37.52999115,-,-,-,-,-,-,-,-,∞,0.0276004,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.76378858,0.52400261,0.39074868,-,-,-,25.38333321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.54735851,151,0.01284546,8.65259075
Tue Apr 25 19:10:40 GMT+02:00 2017,25-apr-2017 19:10:40.897,14.413020249,40.908918377,0.0,8.0,100.24629211425781,65.91543,0.58418524,4.175488,6.66545773,-0.12103475,23,48.14212418,29.01960754,19.6078434,0,11.55699158,1.5625,0,3.90625,35.3481636,2115.5,-,3,-,-,-,13.28561687,37.52999115,-,-,-,-,-,-,-,-,∞,0.0276004,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.76378858,0.52400261,0.39074868,-,-,-,25.38333321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.54735851,153,0.01284546,8.65259075
Tue Apr 25 19:10:41 GMT+02:00 2017,25-apr-2017 19:10:41.395,14.412948286,40.908950534,0.91110945,8.0,100.29469299316406,258.8703,-1.88663089,5.38216543,8.72447109,0.02528594,23,48.14169693,29.01960754,19.6078434,1.50230861,11.55511379,1.5625,0,3.90625,33.28152847,1178,-,3,-,66.56283569,-,13.09556389,36.99311829,-,-,-,-,-,-,-,-,∞,0.02809986,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.76378858,0.52400261,0.39074868,-,-,-,25.38333321,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.92901802,153,0.01307792,8.65399742
Tue Apr 25 19:10:41 GMT+02:00 2017,25-apr-2017 19:10:41.903,14.412948286,40.908950534,0.91110945,8.0,100.29469299316406,258.8703,-0.77572137,5.4875102,8.64785671,0.01767217,23,48.14169693,24.70588303,19.6078434,1.50230861,11.55511379,1.5625,0,-3.125,33.28152847,1178,-,2.72000599,-,66.56283569,-,13.09556389,36.99311829,-,-,-,-,-,-,-,-,∞,0.02809986,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.83870316,0.96590763,0.72027719,-,-,-,25.06557465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.92901802,153,0.01307792,8.65399742
Tue Apr 25 19:10:42 GMT+02:00 2017,25-apr-2017 19:10:42.392,14.412921271,40.908952211,1.2843181,6.0,100.33685302734375,287.54382,-3.17949986,6.7612257,7.02937603,0.02210281,1.5,48.14169693,24.70588303,19.6078434,1.50230861,11.55511379,1.5625,0,-3.125,33.28152847,1178,-,2.72000599,-,66.56283569,-,13.09556389,36.99311829,-,-,-,-,-,-,-,-,∞,0.02809986,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.83870316,0.96590763,0.72027719,-,-,-,25.06557465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.92901802,153,0.01307792,8.65399742
Tue Apr 25 19:10:42 GMT+02:00 2017,25-apr-2017 19:10:42.900,14.412921271,40.908952211,1.2843181,6.0,100.33685302734375,287.54382,-1.47482824,6.79953289,7.37414122,0.06402417,1.5,48.14169693,24.70588303,72.15686035,1.50230861,11.55511379,1.5625,-2.34375,-3.125,33.28152847,1178,-,2.72000599,-,66.56283569,-,13.09556389,36.99311829,-,-,-,-,-,-,-,-,∞,0.02809986,231.00378418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.83870316,0.96590763,0.72027719,-,-,-,25.06557465,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.92901802,153,0.01307792,8.65399742
