GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel Trim Bank 1 Short Term(%),Fuel flow rate/minute(cc/min),Engine RPM(rpm),Actual engine % torque(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Instantaneous)(g/km),Litres Per 100 Kilometer(Instant)(l/100km),0-100mph Time(s),Trip average KPL(kpl),Trip average MPG(mpg),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Average)(g/km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Measured)(:1),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),Average trip speed(whilst moving only)(km/h),O2 Sensor8 wide-range Voltage,O2 Sensor7 wide-range Voltage,100-0kph Time(s),80-120kph Time(s),80-100mph Time(s),Exhaust Gas Temperature 1(°C),O2 Sensor6 wide-range Voltage,Mass Air Flow Rate(g/s),Transmission Temperature(Method 2)(°C),O2 Sensor5 wide-range Voltage,O2 Sensor4 wide-range Voltage,60-80mph Time(s),0-60mph Time(s),1/4 mile time(s),60-130mph Time(s),1/8 mile time(s),40-60mph Time(s),60-0mph Time(s),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,Turbo Boost & Vacuum Gauge(psi),Run time since engine start(s),Fuel cost (trip)(cost),Litres Per 100 Kilometer(Long Term Average)(l/100km)
Sat Apr 29 11:09:21 GMT+02:00 2017,29-apr-2017 11:09:22.191,14.412853668,40.909037109,0.0,4.0,80.08056640625,9.184549,0.61291564,6.72291851,7.23048925,0.00720369,12,47.75802994,31.37254906,30.19607925,0,11.97889328,-0.78125,3.125,4.6875,23.71213722,839.25,-,0,-,-,-,12.7742281,36.085392,-,-,-,-,-,-,-,-,0.19685857,0.0289344,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.55172348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.34886742,50,0.01020885,8.34784317
Sat Apr 29 11:09:21 GMT+02:00 2017,29-apr-2017 11:09:22.698,14.412853668,40.909037109,0.0,4.0,80.08056640625,9.184549,-0.31603462,5.56412458,7.85298157,0.02313901,12,47.7578125,31.37254906,30.19607925,0,11.97880173,-0.78125,3.125,4.6875,0.22675589,839.25,-,0,-,-,-,12.76514912,36.05974197,-,-,-,-,-,-,-,-,0.15523754,0.02921,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.55172348,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,51,0.01032862,8.34790611
Sat Apr 29 11:09:22 GMT+02:00 2017,29-apr-2017 11:09:23.187,14.412855069,40.909039599,0.6928894,4.0,80.09198760986328,345.8793,-0.15322891,6.98149204,6.11000252,0.00436331,12,47.7578125,29.80392265,30.19607925,0,11.97880173,-0.78125,3.125,4.6875,0.22675589,1444.5,-,4,-,-,-,12.76514912,36.05974197,-,-,-,-,-,-,-,-,0.15523754,0.02921,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.27118683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,51,0.01032862,8.34790611
Sat Apr 29 11:09:22 GMT+02:00 2017,29-apr-2017 11:09:23.696,14.412855069,40.909039599,0.6928894,4.0,80.09198760986328,345.8793,-0.04788403,5.60243177,8.37970638,0.02097521,29,47.7578125,29.80392265,30.19607925,0,11.97880173,-0.78125,3.125,10.15625,0.22675589,1444.5,-,4,-,-,-,12.76514912,36.05974197,-,-,-,-,-,-,-,-,0.15523754,0.02921,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.27118683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,51,0.01032862,8.34790611
Sat Apr 29 11:09:23 GMT+02:00 2017,29-apr-2017 11:09:24.187,14.412853077,40.90904912,1.1987101,4.0,80.1059799194336,341.1325,-0.11492168,5.61200857,8.45632076,-0.00659963,29,47.7578125,29.80392265,30.19607925,0,11.97880173,-0.78125,8.59375,10.15625,0.22675589,1444.5,-,4,-,-,-,12.76514912,36.05974197,-,-,-,-,-,-,-,-,0.15523754,0.02921,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.27118683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,51,0.01032862,8.34790611
Sat Apr 29 11:09:23 GMT+02:00 2017,29-apr-2017 11:09:24.698,14.412853077,40.90904912,1.1987101,4.0,80.1059799194336,341.1325,-0.34476504,4.64475107,8.64785671,0.03204061,29,47.75757599,29.80392265,14.90196037,3.30506349,11.97742081,-0.78125,8.59375,10.15625,20.17071915,1444.5,-,4,-,30.25597382,-,12.62602997,35.66675186,-,-,-,-,-,-,-,-,∞,0.02957451,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.27118683,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.36413193,53,0.01045751,8.34886932
Sat Apr 29 11:09:24 GMT+02:00 2017,29-apr-2017 11:09:25.187,14.412844564,40.909065599,1.2720921,4.0,80.12374877929688,336.6465,-0.59376204,4.88417149,8.51378155,0.02136666,29,47.75757599,19.6078434,14.90196037,3.30506349,11.97742081,-0.78125,8.59375,10.15625,20.17071915,1276.5,-,0.42046833,-,30.25597382,-,12.62602997,35.66675186,-,-,-,-,-,-,-,-,∞,0.02957451,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.62779069,0.29180536,0.21759921,-,-,-,20.01666641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.36413193,53,0.01045751,8.34886932
Sat Apr 29 11:09:24 GMT+02:00 2017,29-apr-2017 11:09:25.691,14.412844564,40.909065599,1.2720921,4.0,80.12374877929688,336.6465,-0.33518824,4.41490793,8.85854626,0.01901327,9.5,47.75757599,19.6078434,14.90196037,3.30506349,11.97742081,-0.78125,8.59375,3.90625,20.17071915,1276.5,-,0.42046833,-,30.25597382,-,12.62602997,35.66675186,-,-,-,-,-,-,-,-,∞,0.02957451,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.62779069,0.29180536,0.21759921,-,-,-,20.01666641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.36413193,53,0.01045751,8.34886932
Sat Apr 29 11:09:25 GMT+02:00 2017,29-apr-2017 11:09:26.188,14.412839949,40.909074972,1.1561409,4.0,80.14171600341797,332.13864,-0.87148941,4.66390514,8.61912632,0.01923488,9.5,47.75757599,19.6078434,14.90196037,3.30506349,11.97742081,-0.78125,2.34375,3.90625,20.17071915,1276.5,-,0.42046833,-,30.25597382,-,12.62602997,35.66675186,-,-,-,-,-,-,-,-,∞,0.02957451,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.62779069,0.29180536,0.21759921,-,-,-,20.01666641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.36413193,53,0.01045751,8.34886932
Sat Apr 29 11:09:25 GMT+02:00 2017,29-apr-2017 11:09:26.688,14.412839949,40.909074972,1.1561409,4.0,80.14171600341797,332.13864,-0.58418524,5.00866985,8.35097599,0.01455547,9.5,47.75757599,19.6078434,20.3921566,3.30506349,11.97742081,-0.78125,2.34375,3.90625,20.17071915,1276.5,-,0.42046833,-,30.25597382,-,12.62602997,35.66675186,-,-,-,-,-,-,-,-,∞,0.02957451,234.69651794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.62779069,0.29180536,0.21759921,-,-,-,20.01666641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-11.36413193,55,0.01045751,8.34886932
