GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel Trim Bank 1 Short Term(%),Fuel flow rate/minute(cc/min),Engine RPM(rpm),Actual engine % torque(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Instantaneous)(g/km),Litres Per 100 Kilometer(Instant)(l/100km),0-100mph Time(s),Trip average KPL(kpl),Trip average MPG(mpg),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Average)(g/km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Measured)(:1),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),Average trip speed(whilst moving only)(km/h),O2 Sensor8 wide-range Voltage,O2 Sensor7 wide-range Voltage,100-0kph Time(s),80-120kph Time(s),80-100mph Time(s),Exhaust Gas Temperature 1(°C),O2 Sensor6 wide-range Voltage,Mass Air Flow Rate(g/s),Transmission Temperature(Method 2)(°C),O2 Sensor5 wide-range Voltage,O2 Sensor4 wide-range Voltage,60-80mph Time(s),0-60mph Time(s),1/4 mile time(s),60-130mph Time(s),1/8 mile time(s),40-60mph Time(s),60-0mph Time(s),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,Turbo Boost & Vacuum Gauge(psi),Run time since engine start(s),Fuel cost (trip)(cost),Litres Per 100 Kilometer(Long Term Average)(l/100km)
Sun Apr 30 19:17:35 GMT+02:00 2017,30-apr-2017 19:17:34.684,14.413051306,40.909008007,0.0,4.0,105.68718719482422,6.824115,1.75255561,7.93917274,3.8498764,0.00456315,-1.5,47.32172775,100,24.70588303,0,12.25677109,0,0,0,37.23688889,1098,-,3,-,-,-,13.14713669,37.13880539,-,-,-,-,-,-,-,-,∞,0.02234294,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.43743753,0.53004295,0.39525294,-,-,-,26.47169876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,0,0.00936224,8.15858555
Sun Apr 30 19:17:35 GMT+02:00 2017,30-apr-2017 19:17:35.192,14.413051306,40.909008007,0.0,4.0,105.68718719482422,6.824115,0.89064306,7.16345167,7.15387487,0.05498189,-1.5,47.32172775,30.58823586,24.70588303,0,12.25677109,0,0,0,37.23688889,1098,-,3,-,-,-,13.14713669,37.13880539,-,-,-,-,-,-,-,-,∞,0.02234294,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.43743753,0.53004295,0.39525294,-,-,-,26.47169876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,0,0.00936224,8.15858555
Sun Apr 30 19:17:36 GMT+02:00 2017,30-apr-2017 19:17:35.683,14.413051306,40.909008007,0.0,4.0,105.66883850097656,6.824115,-1.17794728,5.64073944,8.29351425,0.02583775,8,47.32172775,30.58823586,24.70588303,0,12.25677109,0,0,0,37.23688889,1098,-,3,-,-,-,13.14713669,37.13880539,-,-,-,-,-,-,-,-,∞,0.02234294,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.43743753,0.53004295,0.39525294,-,-,-,26.47169876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,0,0.00936224,8.15858555
Sun Apr 30 19:17:36 GMT+02:00 2017,30-apr-2017 19:17:36.192,14.413051306,40.909008007,0.0,4.0,105.66883850097656,6.824115,-0.54587799,6.35899973,6.62715054,0.02766224,8,47.32172775,30.58823586,20.7843132,0,12.25677109,0,0,0,37.23688889,1098,-,3,-,-,-,13.14713669,37.13880539,-,-,-,-,-,-,-,-,∞,0.02234294,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.43743753,0.53004295,0.39525294,-,-,-,26.47169876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.33360291,2,0.00936224,8.15858555
Sun Apr 30 19:17:37 GMT+02:00 2017,30-apr-2017 19:17:36.681,14.413051306,40.909008007,0.0,4.0,105.4849853515625,6.824115,0.01915361,6.7708025,7.31668043,0.10046057,8,47.3214798,30.58823586,20.7843132,2.33768702,12.25537968,0,0,0,1.06496859,667,-,3,-,42.77643585,-,13.00490761,36.73702621,-,-,-,-,-,-,-,-,∞,0.02266487,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.43743753,0.53004295,0.39525294,-,-,-,26.47169876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.62367916,2,0.00949714,8.15951157
Sun Apr 30 19:17:37 GMT+02:00 2017,30-apr-2017 19:17:37.192,14.413051306,40.909008007,0.0,4.0,105.4849853515625,6.824115,0.34476504,6.7516489,6.42603731,0.01189947,8,47.3214798,32.15686417,20.7843132,2.33768702,12.25537968,0,0,0,1.06496859,667,-,5,-,42.77643585,-,13.00490761,36.73702621,-,-,-,-,-,-,-,-,∞,0.02266487,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.33605957,0.59349763,0.4425711,-,-,-,26.07407379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.62367916,2,0.00949714,8.15951157
Sun Apr 30 19:17:38 GMT+02:00 2017,30-apr-2017 19:17:37.683,14.413019762,40.909030055,0.592572,6.0,105.3056411743164,240.48642,-1.23540807,5.98550415,8.00621033,0.03121419,-2.5,47.3214798,32.15686417,20.7843132,2.33768702,12.25537968,0,0,0,1.06496859,667,-,5,-,42.77643585,-,13.00490761,36.73702621,-,-,-,-,-,-,-,-,∞,0.02266487,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.33605957,0.59349763,0.4425711,-,-,-,26.07407379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.62367916,2,0.00949714,8.15951157
Sun Apr 30 19:17:38 GMT+02:00 2017,30-apr-2017 19:17:38.192,14.413019762,40.909030055,0.592572,6.0,105.3056411743164,240.48642,-1.18752408,5.73650742,9.42357826,0.02771285,-2.5,47.3214798,32.15686417,21.96078491,2.33768702,12.25537968,0,0,0,1.06496859,667,-,5,-,42.77643585,-,13.00490761,36.73702621,-,-,-,-,-,-,-,-,∞,0.02266487,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.33605957,0.59349763,0.4425711,-,-,-,26.07407379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.62367916,4,0.00949714,8.15951157
Sun Apr 30 19:17:39 GMT+02:00 2017,30-apr-2017 19:17:38.683,14.41301021,40.909032618,0.8273,6.0,105.13270568847656,272.30093,0.35434186,5.73650742,7.94874954,0.00680362,-2.5,47.32133484,32.15686417,21.96078491,6.8024559,12.25461578,0,0,0,12.25026417,647.25,-,5,-,14.70026779,-,12.92435551,36.50947952,-,-,-,-,-,-,-,-,0.05607037,0.0227782,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.33605957,0.59349763,0.4425711,-,-,-,26.07407379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.91375446,4,0.00957712,8.16002083
Sun Apr 30 19:17:39 GMT+02:00 2017,30-apr-2017 19:17:39.181,14.41301021,40.909032618,0.8273,6.0,105.13270568847656,272.30093,0.36391866,5.7843914,7.78594398,0.00340343,-2.5,47.32133484,28.62745094,21.96078491,6.8024559,12.25461578,0,0,-2.34375,12.25026417,647.25,-,1.02171993,-,14.70026779,-,12.92435551,36.50947952,-,-,-,-,-,-,-,-,0.05607037,0.0227782,197.54484558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.33605957,0.59349763,0.4425711,-,-,-,25.67272758,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-9.91375446,4,0.00957712,8.16002083
