GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),0-100mph Time(s),Actual engine % torque(%),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Timing Advance(°),Engine Load(%),Litres Per 100 Kilometer(Instant)(l/100km),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Distance to empty (Estimated)(km),Fuel used (trip)(l),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 1 Short Term(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Fuel cost (trip)(cost),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Instantaneous)(g/km),CO₂ in g/km (Average)(g/km),GPS vs OBD Speed difference(km/h),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Distance travelled with MIL/CEL lit(km),Distance travelled since codes cleared(km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel flow rate/minute(cc/min),Fuel flow rate/hour(l/hr),Fuel Rate (direct from ECU)(L/m),Engine RPM(rpm),GPS Accuracy(m),GPS Altitude(m),GPS Latitude(°),GPS Longitude(°),GPS Bearing(°),GPS Satellites,Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Throttle Position(Manifold)(%),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Throttle Position(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Intake Manifold Pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Turbo Boost & Vacuum Gauge(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Commanded Equivalence Ratio(lambda),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),0-60mph Time(s),1/4 mile time(s),1/8 mile time(s),100-0kph Time(s),40-60mph Time(s),60-0mph Time(s),60-120mph Time(s),60-130mph Time(s),60-80mph Time(s),80-100mph Time(s),80-120kph Time(s),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Acceleration Sensor(Total)(g),Mass Air Flow Rate(g/s),Ambient air temp(°C),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Intake Air Temperature(°C),Exhaust Gas Temperature 1(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Engine Coolant Temperature(°C),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip time(whilst stationary)(s),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Run time since engine start(s),Voltage (OBD Adapter)(V),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,O2 Sensor4 wide-range Voltage,O2 Sensor5 wide-range Voltage,O2 Sensor6 wide-range Voltage,O2 Sensor7 wide-range Voltage,O2 Sensor8 wide-range Voltage,Speed (GPS)(km/h),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h)
Thu May 11 16:54:08 GMT+02:00 2017,11-mag-2017 16:54:09.005,14.412936004170103,40.909023496352255,0.051473137,6.0,124.27365392078045,160.32681,0.28730419,4.57771349,9.81622696,0.01198495,-,-,-,27.45098114,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,124.27365112,40.90902328,14.41293621,160.32681274,11,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00097623,0.46468499,0.88696754,0.0912613,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,0.18530329,0,0,-
Thu May 11 16:54:09 GMT+02:00 2017,11-mag-2017 16:54:09.501,14.412935804263808,40.90901999973723,0.3171816,6.0,123.95800903243511,160.32681,1.56101954,5.12359142,8.39885998,0.03442973,-,-,-,27.45098114,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.95800781,40.90901947,14.41293621,160.32681274,12,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.13104388,0.09771941,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03612047,0.56914151,0.75712913,0.02986473,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,1.14185369,0,0,-
Thu May 11 16:54:09 GMT+02:00 2017,11-mag-2017 16:54:10.020,14.412935804263808,40.90901999973723,0.3171816,6.0,123.95800903243511,160.32681,-0.12449849,5.803545,7.94874954,0.00641459,-,-,-,27.45098114,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.95800781,40.90901947,14.41293621,160.32681274,12,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.13104388,0.09771941,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.00780983,0.52228248,0.68976927,-0.05279982,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,1.14185369,0,0,-
Thu May 11 16:54:10 GMT+02:00 2017,11-mag-2017 16:54:10.503,14.412930080556318,40.909021133020715,0.21516849,6.0,123.93066530154444,160.32681,-0.70868373,6.34942293,7.69017601,0.02560114,-,-,-,27.45098114,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.93066406,40.90901947,14.41293049,160.32681274,14,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,0,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.13104388,0.09771941,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01366721,0.63845378,0.64681518,-0.01704388,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,0.77460653,0,0,-
Thu May 11 16:54:10 GMT+02:00 2017,11-mag-2017 16:54:11.019,14.412930080556318,40.909021133020715,0.21516849,6.0,123.93066530154444,160.32681,-0.20111294,5.19062948,8.18816948,0.00746739,-,-,-,27.45098114,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.93066406,40.90901947,14.41293049,160.32681274,14,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,12.94117641,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.13104388,0.09771941,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03221555,0.45589894,0.7707963,-0.01621712,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,0.77460653,0,0,-
Thu May 11 16:54:11 GMT+02:00 2017,11-mag-2017 16:54:11.504,14.412926976435598,40.90902770093105,0.39698794,6.0,123.66346668163148,10.877844,-0.25857377,5.36301184,7.94874954,0.02124543,-,-,-,27.45098114,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.66346741,40.9090271,14.41292667,10.87784386,13,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,12.94117641,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.02523633,0.01881873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.10640897,0.50471038,0.73760444,-0.01597873,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,1.42915654,0,0,-
Thu May 11 16:54:11 GMT+02:00 2017,11-mag-2017 16:54:12.001,14.412926976435598,40.90902770093105,0.39698794,6.0,123.66346668163148,10.877844,-0.19153613,5.45877981,8.15943909,0.0195132,-,-,-,19.6078434,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.66346741,40.9090271,14.41292667,10.87784386,13,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,12.94117641,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.02523633,0.01881873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01366721,0.54864067,0.70148402,-0.02829283,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,1.42915654,0,0,-
Thu May 11 16:54:12 GMT+02:00 2017,11-mag-2017 16:54:12.502,14.41292820149765,40.90903666618006,0.74332064,6.0,123.42244877834865,357.54813,-0.05746084,5.52581739,8.89685345,0.05949775,-,-,-,19.6078434,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.4224472,40.90903854,14.41292858,357.54812622,14,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,12.94117641,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.02523633,0.01881873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.01561966,0.55254561,0.84694207,0.09684615,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,65,-,-,-,-,-,-,-,-,-,-,2.67595434,0,0,-
Thu May 11 16:54:12 GMT+02:00 2017,11-mag-2017 16:54:13.006,14.41292820149765,40.90903666618006,0.74332064,6.0,123.42244877834865,357.54813,-0.02873042,7.00064564,7.69975281,0.00706957,-,-,-,19.6078434,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.4224472,40.90903854,14.41292858,357.54812622,14,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,12.94117641,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.02523633,0.01881873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.0370967,0.63650131,0.65657747,-0.01025836,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,79,-,-,-,-,-,-,-,-,-,-,2.67595434,0,0,-
Thu May 11 16:54:13 GMT+02:00 2017,11-mag-2017 16:54:13.502,14.41292480269612,40.90904823153994,1.0507613,6.0,123.20003284488196,347.83105,-0.05746084,6.83784008,6.61757326,-0.01098353,-,-,-,19.6078434,90.26999664,0,34.11764908,0,12.53463268,7.97773027,13.78783512,7.25261927,38.94868851,255,35.40856934,-,-,0,2.34375,-,-,-,1.5625,-,-,-,-,-,-,-,-,-,-,-,0.05976169,-,113.37310028,0,13090,-,-,-,-,-,-,-,-,-,-,762.25,6,123.2000351,40.90904999,14.41292477,347.83105469,13,-,-,-,-,-,-,-,-,-,-,-,0.68000001,0.70999998,-,-,-,-,-,-,6.27450991,-,-,-,-,12.94117641,-,-,-,-,5.80150938,-,-,-8.89849091,-,14.69999981,-,1,-,0.5493989,0.40968668,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.05662128,0.65114474,0.71905613,0.04823602,-,23,510.20001221,-,-,-,61,-,-,-,91,-,-,0,0,0,79,-,-,-,-,-,-,-,-,-,-,3.78274083,0,0,-
